26781
12
1723726
14783515
0 1 1 1696 2371 12 (D 0,1,1) (S 25,1,2) (S 26,2,1) (S 27,2,3) (S 29,3,8) (S 35,8,2) (S 28,2,8) (S 36,8,3) (S 30,4,5) (S 2,10,10) (S 21,18,24) (D 0,1,1)
0 1 2 1697 2492 13 (D 0,1,1) (S 33,7,1) (S 34,7,14) (S 4,14,14) (S 50,14,8) (S 37,8,7) (S 51,14,15) (S 53,15,14) (S 66,21,20) (S 65,20,15) (S 39,9,3) (S 63,19,18) (D 0,1,1)
0 1 3 1697 2114 8 (D 0,1,1) (S 38,8,9) (S 40,9,16) (S 5,16,16) (S 20,16,23) (S 11,23,23) (S 68,23,24) (D 0,1,1)
0 1 4 1660 2270 8 (D 0,1,1) (S 52,14,21) (S 9,21,21) (S 23,21,26) (S 72,26,27) (S 73,27,23) (S 77,30,31) (D 0,1,1)
0 1 5 1683 2045 7 (D 0,1,1) (S 17,4,10) (S 41,10,3) (S 42,10,11) (S 18,11,18) (S 7,18,18) (D 0,1,1)
0 1 6 1666 2222 8 (D 0,1,1) (S 54,15,16) (S 56,16,9) (S 57,16,15) (S 55,15,20) (S 22,20,22) (S 74,27,29) (D 0,1,1)
0 1 7 1676 2152 8 (D 0,1,1) (S 43,10,17) (S 6,17,17) (S 58,17,10) (S 44,11,5) (S 31,5,6) (S 32,6,5) (D 0,1,1)
0 1 8 1708 2279 10 (D 0,1,1) (S 45,11,10) (S 59,17,18) (S 60,18,10) (S 61,18,19) (S 8,19,19) (S 62,19,12) (S 3,12,12) (S 47,12,13) (D 0,1,1)
0 1 9 1692 2270 8 (D 0,1,1) (S 10,22,22) (S 67,22,21) (S 14,29,29) (S 24,29,30) (S 15,30,30) (S 78,31,25) (D 0,1,1)
0 1 10 1632 2148 7 (D 0,1,1) (S 1,6,6) (S 19,13,19) (S 64,19,25) (S 12,25,25) (S 48,12,19) (D 0,1,1)
0 1 11 1593 2428 8 (D 0,1,1) (S 49,13,12) (S 46,12,11) (S 69,24,25) (S 70,25,19) (S 71,25,24) (S 16,31,31) (D 0,1,1)
0 1 12 1365 1990 6 (D 0,1,1) (S 76,29,28) (S 13,28,28) (S 75,28,29) (S 79,31,30) (D 0,1,1)
